key,en,zh_TW
StartGame,Start Game,開始遊戲
Settings,Settings,設定
Credit,Credit,製作團隊
Confirm,Confirm,確認
Exit,Exit,退出
Video,Video,視訊
Audio,Audio,音訊
Input,Input,輸入
FullScreen,Full Screen,全螢幕
Resolution,Resolution,解析度
Language,Language,語言
MasterVolume,Master,主音量
BGMVolume,BGM,背景音量
SFXVolume,SFX,音效音量
UIVolume,UI,介面音量
CreateNewGame,Create New,建立新遊戲
LoadGame,Load,載入遊戲
SaveGame,Save,儲存遊戲
DeleteGame,Delete,刪除遊戲
DeleteConfirm,Are you sure you want to delete this save file?,您確定要刪除此存檔嗎？
SaveDataModifiedTime,Last Modified: {time},最後修改時間： {time}
SaveGameSuccess,Game saved successfully!,遊戲儲存成功！
PleaseSelect,Please select an option,請選擇一個選項
